fid,DN,Area
1092,"1",252.323
1093,"1",336.432
1094,"1",84.108
1095,"1",504.649
1096,"1",672.865
1097,"1",84.108
1098,"1",84.108
1099,"1",7401.512
1100,"1",252.325
1101,"1",168.217
1102,"1",504.650
1103,"1",336.433
1104,"1",84.108
1105,"1",168.217
1106,"1",168.217
1107,"1",14298.472
1108,"1",84.109
1109,"1",2523.266
1110,"1",102275.862
1111,"1",168.218
1112,"1",841.091
1113,"1",336.437
1114,"1",168.218
1115,"1",84.109
1116,"1",2092036.306
1117,"1",336.438
1118,"1",84.110
1119,"1",168.219
1120,"1",1009.315
1121,"1",336.439
1122,"1",672.877
1123,"1",84.110
1124,"1",168.220
1125,"1",336.439
1126,"1",92436.181
1127,"1",588.770
1128,"1",84.110
1129,"1",84.110
1130,"1",26578.806
1131,"1",84.110
1132,"1",84.111
1133,"1",5383.063
1134,"1",336.442
1135,"1",336.443
1136,"1",2150563.091
1137,"1",84.111
1138,"1",84.111
1139,"1",4878.438
1140,"1",588.777
1141,"1",84.111
1142,"1",81671.344
1143,"1",336.445
1144,"1",1093.447
1145,"1",8158.788
1146,"1",420.557
1147,"1",3448.568
1148,"1",1177.560
1149,"1",84.111
1150,"1",84.112
1151,"1",5214.916
1152,"1",17831.618
1153,"1",420.558
1154,"1",4373.799
1155,"1",13457.853
1156,"1",13289.615
1157,"1",168.224
1158,"1",84.112
1159,"1",84.112
1160,"1",84.112
1161,"1",3616.819
1162,"1",4121.493
1163,"1",6140.195
1164,"1",1093.460
1165,"1",588.786
1166,"1",336.450
1167,"1",84.112
1168,"1",84.112
1169,"1",9168.240
1170,"1",84.112
1171,"1",588.788
1172,"1",4542.079
1173,"1",66196.202
1174,"1",220876.885
1175,"1",2355.155
1176,"1",1850.480
1177,"1",84.113
1178,"1",84.113
1179,"1",84.113
1180,"1",252.339
1181,"1",84.113
1182,"1",84.113
1183,"1",3112.189
1184,"1",2607.507
1185,"1",84.113
1186,"1",15981.525
1187,"1",2355.173
1188,"1",252.340
1189,"1",84.113
1190,"1",65019.241
1191,"1",84.114
1192,"1",252.341
1193,"1",84.114
1194,"1",84.114
1195,"1",1261.705
1196,"1",757.023
1197,"1",84.114
1198,"1",1068964.990
1199,"1",336.455
1200,"1",168.228
1201,"1",84.114
1202,"1",841.140
1203,"1",13037.642
1204,"1",168.228
1205,"1",252.343
1206,"1",4962.738
1207,"1",336.457
1208,"1",1598.172
1209,"1",168.229
1210,"1",84.114
1211,"1",84.114
1212,"1",84.114
1213,"1",22290.293
1214,"1",336.458
1215,"1",84.115
1216,"1",841.146
1217,"1",336.458
1218,"1",168.230
1219,"1",672.919
1220,"1",84.115
1221,"1",252.345
1222,"1",84.115
1223,"1",50973.427
1224,"1",336.461
1225,"1",11103.198
1226,"1",420.577
1227,"1",4542.231
1228,"1",84.115
1229,"1",3364.623
1230,"1",252.347
1231,"1",36169.841
1232,"1",14720.301
1233,"1",10682.736
1234,"1",84.116
1235,"1",84.116
1236,"1",3448.769
1237,"1",105733.766
1238,"1",2607.611
1239,"1",336.466
1240,"1",252.350
1241,"1",84.117
1242,"1",84.117
1243,"1",84.117
1244,"1",3869.393
1245,"1",4626.449
1246,"1",9673.487
1247,"1",84.117
1248,"1",336.470
1249,"1",84.118
1250,"1",841.176
1251,"1",42563.386
1252,"1",252.353
1253,"1",252.354
1254,"1",16066.526
1255,"1",757.063
1256,"1",84.118
1257,"1",168.236
1258,"1",84.118
1259,"1",94884.742
1260,"1",34319.943
1261,"1",925.300
1262,"1",3028.260
1263,"1",588.828
1264,"1",168.237
1265,"1",588.828
1266,"1",841.183
1267,"1",841.183
1268,"1",84.118
1269,"1",4290.038
1270,"1",841.184
1271,"1",168.237
1272,"1",841.185
1273,"1",588.830
1274,"1",168.237
1275,"1",84.119
1276,"1",168.237
1277,"1",4374.167
1278,"1",8664.191
1279,"1",757.067
1280,"1",1345.898
1281,"1",336.474
1282,"1",17833.131
1283,"1",1682.373
1284,"1",336.475
1285,"1",672.950
1286,"1",1345.898
1287,"1",16487.247
1288,"1",109606.412
1289,"1",84.119
1290,"1",84.119
