fid,DN,Area,AreaHa
3800,"1",66226.896,6.623
3801,"1",11444.571,1.144
3824,"1",24488.050,2.449
3825,"1",130517.713,13.052
3861,"1",17166.916,1.717
3863,"1",936419.029,93.642
3893,"1",22216.054,2.222
3894,"1",522235.875,52.224
3896,"1",47377.092,4.738
3924,"1",22216.079,2.222
3925,"1",135652.503,13.565
3926,"1",712164.787,71.216
3928,"1",1312216.574,131.222
3929,"1",16073.020,1.607
3930,"1",10182.375,1.018
3966,"1",10771.478,1.077
3978,"1",15231.526,1.523
3979,"1",18008.543,1.801
3997,"1",12202.078,1.220
4042,"1",231922.598,23.192
4054,"1",21206.409,2.121
4055,"1",42328.783,4.233
4082,"1",35260.020,3.526
4083,"1",10434.967,1.043
4086,"1",41319.075,4.132
4090,"1",14558.456,1.456
4095,"1",34923.427,3.492
4096,"1",24067.757,2.407
4123,"1",68668.889,6.867
4124,"1",17419.693,1.742
4135,"1",110492.406,11.049
4162,"1",388528.969,38.853
4173,"1",13380.392,1.338
4174,"1",12454.709,1.245
4195,"1",80702.687,8.070
4204,"1",337032.551,33.703
4205,"1",40057.052,4.006
4211,"1",242444.386,24.244
4238,"1",31557.670,3.156
4239,"1",94251.760,9.425
4242,"1",17167.396,1.717
4246,"1",14390.298,1.439
4259,"1",26508.402,2.651
4296,"1",42077.012,4.208
4300,"1",17335.708,1.734
4346,"1",13885.431,1.389
4363,"1",63620.357,6.362
4374,"1",10771.761,1.077
4384,"1",145923.182,14.592
4411,"1",81882.116,8.188
4444,"1",14053.828,1.405
4446,"1",39636.798,3.964
4448,"1",184885.825,18.489
4453,"1",21206.943,2.121
4494,"1",21627.784,2.163
4496,"1",10687.681,1.069
4497,"1",10182.745,1.018
4498,"1",29201.746,2.920
4538,"1",12959.862,1.296
4539,"1",1865733.499,186.573
4540,"1",82219.519,8.222
4575,"1",13380.685,1.338
4576,"1",35597.599,3.560
4588,"1",106960.705,10.696
4605,"1",48894.239,4.889
4608,"1",11192.666,1.119
4628,"1",97283.436,9.728
4629,"1",15737.092,1.574
4635,"1",13044.106,1.304
4638,"1",33830.476,3.383
4639,"1",82892.792,8.289
4668,"1",255663.335,25.566
4669,"1",22637.860,2.264
4705,"1",598507.388,59.851
4738,"1",48557.873,4.856
4742,"1",11950.178,1.195
4771,"1",13969.945,1.397
4773,"1",34672.243,3.467
4801,"1",95517.259,9.552
4805,"1",180765.382,18.077
4806,"1",62780.560,6.278
4808,"1",291852.351,29.185
4809,"1",61181.538,6.118
4859,"1",174455.666,17.446
4867,"1",36187.314,3.619
4872,"1",32484.377,3.248
4884,"1",13465.071,1.347
4910,"1",26593.590,2.659
4912,"1",22806.501,2.281
4913,"1",49568.399,4.957
4930,"1",16494.753,1.649
4937,"1",14138.369,1.414
4942,"1",59835.486,5.984
4944,"1",37197.382,3.720
4954,"1",20786.811,2.079
4986,"1",15821.569,1.582
5007,"1",93077.548,9.308
5008,"1",10435.511,1.044
5009,"1",16074.075,1.607
5048,"1",38712.527,3.871
5082,"1",25163.143,2.516
5095,"1",85588.179,8.559
5125,"1",43509.381,4.351
5166,"1",14306.886,1.431
5173,"1",84746.994,8.475
5180,"1",45024.571,4.502
5182,"1",12960.369,1.296
5219,"1",15232.671,1.523
5255,"1",27014.893,2.701
5267,"1",12539.649,1.254
5289,"1",24406.049,2.441
5336,"1",823398.942,82.340
5362,"1",10435.742,1.044
5363,"1",10772.367,1.077
5368,"1",21376.421,2.138
5394,"1",12371.436,1.237
5395,"1",13802.153,1.380
5422,"1",31138.966,3.114
5424,"1",28361.692,2.836
5443,"1",38629.220,3.863
5445,"1",32906.297,3.291
5447,"1",427021.887,42.702
5471,"1",31643.901,3.164
5472,"1",1065677.612,106.568
5476,"1",10688.295,1.069
5502,"1",90892.295,9.089
5512,"1",42248.129,4.225
5524,"1",26846.975,2.685
5529,"1",13802.221,1.380
5544,"1",14307.192,1.431
5557,"1",14643.797,1.464
5572,"1",20114.251,2.011
5573,"1",30381.698,3.038
5575,"1",11024.973,1.102
5600,"1",12119.070,1.212
5601,"1",28951.053,2.895
5620,"1",21208.348,2.121
5653,"1",32906.653,3.291
5688,"1",27015.493,2.702
5689,"1",20535.181,2.054
5701,"1",7561208.596,756.121
5706,"1",15569.716,1.557
5717,"1",20114.394,2.011
5721,"1",12960.743,1.296
5722,"1",58744.011,5.874
5747,"1",30129.432,3.013
5755,"1",16411.371,1.641
5791,"1",13718.249,1.372
5801,"1",182965.519,18.297
5812,"1",38966.460,3.897
5822,"1",269987.004,26.999
5830,"1",36525.973,3.653
5831,"1",17505.504,1.751
5859,"1",15401.527,1.540
5873,"1",12371.733,1.237
5886,"1",56808.727,5.681
5887,"1",12876.718,1.288
5889,"1",73557.059,7.356
5894,"1",27689.146,2.769
5895,"1",3991753.859,399.175
5937,"1",79700.902,7.970
5938,"1",40650.097,4.065
5955,"1",12540.120,1.254
5963,"1",32907.242,3.291
5988,"1",19273.045,1.927
5989,"1",49823.661,4.982
5994,"1",20283.009,2.028
6024,"1",15233.303,1.523
6056,"1",40229.441,4.023
6057,"1",18768.140,1.877
6058,"1",14644.226,1.464
6059,"1",17253.256,1.725
6066,"1",54116.288,5.412
6073,"1",145179.469,14.518
6096,"1",10520.295,1.052
6097,"1",45195.176,4.520
6098,"1",60849.343,6.085
6106,"1",18431.551,1.843
6108,"1",18010.771,1.801
6125,"1",51339.024,5.134
6127,"1",23902.221,2.390
6128,"1",14223.489,1.422
6132,"1",35095.760,3.510
6146,"1",10436.195,1.044
6166,"1",12876.943,1.288
6168,"1",46036.843,4.604
6178,"1",700221.599,70.022
6199,"1",74652.434,7.465
6200,"1",32571.122,3.257
6201,"1",90054.632,9.005
6233,"1",42250.023,4.225
6243,"1",68004.039,6.800
6254,"1",16496.058,1.650
6278,"1",14728.652,1.473
6292,"1",16916.976,1.692
6311,"1",35433.048,3.543
6341,"1",19105.296,1.911
6343,"1",25165.141,2.517
6348,"1",40735.546,4.074
6352,"1",16159.562,1.616
6361,"1",46542.924,4.654
6377,"1",56305.874,5.631
6379,"1",21125.329,2.113
6403,"1",17001.270,1.700
6406,"1",21462.008,2.146
6453,"1",577784.481,57.778
6463,"1",15486.374,1.549
6466,"1",73812.556,7.381
6470,"1",63544.435,6.354
6486,"1",54370.636,5.437
6506,"1",38126.798,3.813
6508,"1",24492.083,2.449
6509,"1",14644.768,1.464
6527,"1",16833.092,1.683
6535,"1",17506.406,1.751
6540,"1",79620.113,7.962
6566,"1",12961.521,1.296
6578,"1",478307.645,47.831
6580,"1",27269.677,2.727
6582,"1",15402.345,1.540
6588,"1",62956.045,6.296
6589,"1",13382.381,1.338
6604,"1",24576.422,2.458
6624,"1",15234.046,1.523
6643,"1",10015.775,1.002
6644,"1",43513.791,4.351
6656,"1",158315.535,15.832
6671,"1",98137.556,9.814
6691,"1",15991.548,1.599
6693,"1",18011.608,1.801
6699,"1",234063.063,23.406
6700,"1",96285.970,9.629
6709,"1",54034.815,5.403
6716,"1",41999.047,4.200
6724,"1",157222.104,15.722
6725,"1",33834.897,3.383
6727,"1",10436.673,1.044
6730,"1",13214.169,1.321
6732,"1",12288.340,1.229
6741,"1",24492.510,2.449
6752,"1",23566.677,2.357
6778,"1",10605.056,1.061
6791,"1",168249.182,16.825
6806,"1",16833.433,1.683
6833,"1",88459.647,8.846
6835,"1",69774.640,6.977
6836,"1",99654.089,9.965
6858,"1",11025.959,1.103
6897,"1",10689.317,1.069
6899,"1",25082.059,2.508
6921,"1",33919.671,3.392
6922,"1",57739.202,5.774
6954,"1",195942.083,19.594
6962,"1",48733.510,4.873
6964,"1",43767.621,4.377
6965,"1",228431.148,22.843
6967,"1",75835.660,7.584
7004,"1",20116.290,2.012
7007,"1",15907.861,1.591
7033,"1",28196.614,2.820
7047,"1",19527.177,1.953
7048,"1",10436.961,1.044
7049,"1",13046.218,1.305
7068,"1",24409.034,2.441
7069,"1",14982.116,1.498
7071,"1",27691.676,2.769
7086,"1",45282.922,4.528
7094,"1",37707.885,3.771
7095,"1",19779.843,1.978
7100,"1",29375.096,2.938
7108,"1",12541.269,1.254
7117,"1",350225.043,35.023
7134,"1",38633.891,3.863
7135,"1",31984.510,3.198
7136,"1",11531.277,1.153
7159,"1",72217.684,7.222
7160,"1",27944.428,2.794
7161,"1",2331613.716,233.161
7166,"1",10521.233,1.052
7198,"1",17507.361,1.751
7199,"1",91744.778,9.174
7200,"1",10773.772,1.077
7201,"1",30385.389,3.039
7221,"1",25335.192,2.534
7222,"1",145361.561,14.536
7223,"1",13972.291,1.397
7235,"1",55468.123,5.547
7243,"1",20032.527,2.003
7245,"1",64979.261,6.498
7254,"1",22136.821,2.214
7257,"1",15234.866,1.523
7284,"1",26261.234,2.626
7285,"1",46377.899,4.638
7309,"1",74659.272,7.466
7310,"1",158071.815,15.807
7317,"1",10437.184,1.044
7321,"1",14982.379,1.498
7322,"1",31732.295,3.173
7327,"1",123309.870,12.331
7348,"1",15066.584,1.507
7352,"1",17507.571,1.751
7408,"1",213372.864,21.337
7409,"1",44694.778,4.469
7410,"1",36361.919,3.636
7442,"1",47556.668,4.756
7443,"1",282981.477,28.298
7466,"1",40149.703,4.015
7470,"1",16413.465,1.641
7486,"1",11447.346,1.145
7487,"1",19780.369,1.978
7493,"1",95703.022,9.570
7494,"1",20453.724,2.045
7495,"1",15571.795,1.557
7525,"1",32406.219,3.241
7528,"1",20369.610,2.037
7551,"1",134169.601,13.417
7553,"1",107655.302,10.766
7573,"1",52860.101,5.286
7600,"1",10437.355,1.044
7601,"1",12373.319,1.237
7608,"1",245948.447,24.595
7622,"1",51344.958,5.134
7635,"1",1908963.828,190.896
7638,"1",10269.046,1.027
7650,"1",56647.912,5.665
7651,"1",10269.042,1.027
7652,"1",38551.003,3.855
7656,"1",1402872.514,140.287
7694,"1",27356.124,2.736
7701,"1",20033.113,2.003
7709,"1",10353.250,1.035
7736,"1",41497.180,4.150
7741,"1",62624.572,6.262
7743,"1",33079.814,3.308
7780,"1",39140.387,3.914
7784,"1",12541.766,1.254
7785,"1",40318.883,4.032
7821,"1",54628.251,5.463
7822,"1",23063.463,2.306
7823,"1",17002.949,1.700
7824,"1",63213.629,6.321
7853,"1",17844.683,1.784
7860,"1",63298.035,6.330
7889,"1",100081.229,10.008
7897,"1",14730.365,1.473
7900,"1",557220.098,55.722
7901,"1",11700.109,1.170
7903,"1",37204.617,3.720
7908,"1",24157.822,2.416
7914,"1",13551.934,1.355
7945,"1",59258.220,5.926
7947,"1",30470.896,3.047
7953,"1",23316.144,2.332
7986,"1",26430.581,2.643
7987,"1",28871.548,2.887
7988,"1",48568.210,4.857
7989,"1",307903.874,30.790
7990,"1",35773.831,3.577
8040,"1",17424.011,1.742
8046,"1",13046.985,1.305
8069,"1",11447.699,1.145
8071,"1",10942.665,1.094
8098,"1",205467.662,20.547
8099,"1",16498.176,1.650
8101,"1",22558.731,2.256
8102,"1",41245.330,4.125
8124,"1",50420.217,5.042
8129,"1",38494205.360,3849.421
8152,"1",27861.766,2.786
8156,"1",10100.950,1.010
8191,"1",27356.749,2.736
8220,"1",23905.580,2.391
8222,"1",13215.464,1.322
8223,"1",56565.182,5.657
8224,"1",54881.859,5.488
8226,"1",27861.818,2.786
8228,"1",10858.575,1.086
8238,"1",8276038.712,827.604
8263,"1",32828.239,3.283
8264,"1",14057.241,1.406
8265,"1",36195.192,3.620
8266,"1",11363.638,1.136
8273,"1",131817.663,13.182
8274,"1",786774.378,78.677
8279,"1",10016.853,1.002
8284,"1",27946.154,2.795
8313,"1",82659.774,8.266
8317,"1",57828.276,5.783
8319,"1",150336.134,15.034
8330,"1",15488.252,1.549
8396,"1",22222.333,2.222
8397,"1",12878.875,1.288
8414,"1",10942.839,1.094
8440,"1",243433.803,24.343
8441,"1",47559.223,4.756
8459,"1",12458.022,1.246
8479,"1",14899.137,1.490
8485,"1",10185.268,1.019
8506,"1",39731.013,3.973
8507,"1",83165.610,8.317
8509,"1",188637.046,18.864
8522,"1",25673.705,2.567
8534,"1",232830.077,23.283
8535,"1",47812.039,4.781
8536,"1",27357.262,2.736
8549,"1",857562.771,85.756
